,ESTIMATED ENERGY REQUIREMENTS OF ADULTS USING PREDICTED BMR X PAL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,Age,BMI = 22.0,,BMR,Physical activity level (PAL),,,,,,BMR,Physical activity level (PAL),,,,,
1,yr,,,MJ/d,Males,,,,,,MJ/d,Females,,,,,
2,,,,,MJ/day,,,,,,,MJ/day,,,,,
3,,Ht,Wt,Male,1.2,1.4,1.6,1.8,2,2.2,Female,1.2,1.4,1.6,1.8,2,2.2
4,,(m),(kg),,,,,,,,,,,,,,
5,19-30,1.5,49.5,-,-,-,-,-,-,-,5.2,6.1,7.1,8.2,9.2,10.2,11.2
6,,1.6,56.3,6.4,7.7,9,10.3,11.6,12.9,14.2,5.6,6.6,7.7,8.8,9.9,11.1,12.2
7,,1.7,63.6,6.9,8.3,9.7,11,12.4,13.8,15.2,6,7.2,8.4,9.6,10.8,12,13.2
8,,1.8,71.3,7.4,8.9,10.3,11.8,13.3,14.8,16.3,6.5,7.7,9,10.3,11.6,12.9,14.2
9,,1.9,79.4,7.9,9.5,11.1,12.6,14.2,15.8,17.4,7,8.4,9.7,11.1,12.5,13.9,15.3
10,,2,88,8.4,10.1,11.8,13.5,15.2,16.9,18.6,-,-,-,-,-,-,-
11,31-50,1.5,49.5,-,-,-,-,-,-,-,5.2,6.3,7.3,8.4,9.4,10.4,11.5
12,,1.6,56.3,6.4,7.6,8.9,10.2,11.4,12.7,14,5.5,6.5,7.6,8.7,9.8,10.9,12
13,,1.7,63.6,6.7,8,9.4,10.7,12.1,13.4,14.8,5.7,6.8,8,9.1,10.3,11.4,12.5
14,,1.8,71.3,7.1,8.5,9.9,11.3,12.7,14.2,15.6,6,7.2,8.3,9.5,10.7,11.9,13.1
15,,1.9,79.4,7.5,9,10.4,11.9,13.4,14.9,16.4,6.2,7.5,8.7,10,11.2,12.5,13.7
16,,2,88,7.9,9.5,11,12.6,14.2,15.8,17.3,-,-,-,-,-,-,-
17,51-70,1.5,49.5,-,-,-,-,-,-,-,4.9,6,6.9,7.9,8.9,9.8,10.9
18,,1.6,56.3,5.8,7,8.2,9.3,10.4,11.5,12.7,5.2,6.2,7.3,8.3,9.3,10.4,11.4
19,,1.7,63.6,6.1,7.3,8.6,9.8,11.1,12.3,13.6,5.4,6.5,7.6,8.7,9.8,10.7,12
20,,1.8,71.3,6.5,7.8,9.1,10.4,11.7,13.1,14.4,5.7,6.9,8,9.1,10.3,11.4,12.6
21,,1.9,79.4,6.9,8.3,9.6,11.1,12.4,13.8,15.2,6,7.2,8.4,9.6,10.8,12,13.2
22,,2,88,7.3,8.8,10.2,11.7,13.2,14.7,16.1,-,-,-,-,-,-,-
23,>70,1.5,49.5,-,-,-,-,-,-,-,4.6,5.6,6.5,7.4,8.3,9.3,10.2
24,,1.6,56.3,5.2,6.3,7.3,8.3,9.4,10.4,11.5,4.9,5.9,6.9,7.8,8.8,9.8,10.8
25,,1.7,63.6,5.6,6.7,7.8,8.9,10,11.2,12.3,5.2,6.2,7.2,8.3,9.3,10.3,11.4
26,,1.8,71.3,6,7.1,8.3,9.5,10.7,11.9,13.1,5.5,6.6,7.7,8.7,9.8,10.9,12
27,,1.9,79.4,6.4,7.6,8.9,10.2,11.4,12.7,14,5.8,6.9,8.1,9.2,10.4,11.5,12.7
28,,2,88,6.8,8.1,9.5,10.8,12.2,13.5,14.9,-,-,-,-,-,-,-
