,NUTRIENT REFERENCE VALUES FOR AUSTRALIA AND NEW ZEALAND,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Age Group,Gender,Age Range,,Protein,,,Dietary fats,,,,,,,Carbohydrate,,Dietary Fibre,,Total water,,Thiamin,,,Riboflavin,,,Niacin,,,Vitamin B6,,,Vitamin B12,,,Folate (as dietary folate equivs),,,Pantothenic acid,,Biotin,,Vitamin A,,,Vitamin C,,,Vitamin D,,Vitamin E,,Vitamin K,,Choline,,Calcium,,,Phosphorus,,,Zinc,,,Iron,,,Magnesium,,,Iodine,,,Selenium,,,Molybdenum,,,Copper,,Chromium,,Manganese,,Fluoride (revised 2017),,"Sodium 
(revised 2017)",,Potassium,
2,,,,,,,,Linoleic,,α-linolenic (n-3),,LC n-3,,,,,,,(figure in brackets is fluid component only),,,,,,,,,,,,,,,,,,,,,,,,(retinol equivalents),,,,,,,,(α-tocopherol equivs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,(n-6),,,,(DHA/EPA/DPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,lower,upper,g/day,,,g/day,,g/day,,mg/day,,,g/day,,g/day,,L/day,,mg/day,,,mg/day,,,mg/day niacin equivalents,,,mg/day,,,μg/day,,,μg/day,,,mg/day,,μg/day,,μg/day,,,mg/day,,,μg/day,,mg/day,,μg/day,,mg/day,,mg/day,,,mg/day,,,mg/day,,,mg/day,,,mg/day,,,μg/day,,,μg/day,,,μg/day,,,mg/day,,μg/day,,mg/day,,mg/day,,mg/day,,mg/day,
5,,,,,AI,,UL,AI,UL,AI,UL,AI,UL,,AI,UL,AI,UL,AI,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,UL,AI,UL,AI,,UL,AI,, UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,,UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,UL
6,Infants,,0m,6m,10,,BM,4.4,BM,0.5,BM,-,NP,,60,BM,NP,NP,0.7 (0.7),NP,0.2,,NP,0.3,,BM,2,,BM,0.1,,BM,0.4,,BM,65,,BM,1.7,BM,5,BM,250 (as retinol ),,600,25,,BM,5,25,4,BM,2,BM,125,BM,210,,BM,100,,BM,2,,4,0.2,,20,30,,BM,90,,BM,12,,45,2,,BM,0.2,BM,0.2,NP,0.003,BM,NP,1.2,120,NP,400,NP
7,Infants,,7m,12m,14,,B/F,4.6,B/F,0.5,B/F,-,NP,,95,B/F,NP,NP,0.8 (0.6),NP,0.3,,NP,0.4,,B/F,4,,B/F,0.3,,B/F,0.5,,B/F,80,,B/F,2.2,B/F,6,B/F,430,,600,30,,B/F,5,25,5,B/F,2.5,B/F,150,B/F,270,,B/F,275,,B/F,EAR,RDI,UL,EAR,RDI,UL,75,,B/F,110,,B/F,15,,60,3,,B/F,0.22,B/F,5.5,NP,0.6,B/F,0.5,1.8,170,NP,700,NP
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3,5,7,11,20,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,EAR,RDI,UL,AI,UL,AI,UL,AI,UL,,AI,UL,AI,UL,AI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI, UL,AI,UL,AI,UL,EAR,RDI,UL, EAR,RDI,UL,AI,UL,AI ,UL,AI,UL,AI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,EAR,RDI,UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,UL
